Shape_Leng,Shape_Area,PROF,COD_CELDA,LOCACION,P_SUPERPOS,COD_GRILLA,Este,Norte
8.944271907210000,4.999999996880000,0.600000000000000,SUE-EA2276-867,EA2276,SUE-EA2276-867 100.000%,EA2276_SUE-EA2276-867_014,488211.934473000001162,9532940.334030000492930
8.944271905350000,4.999999994800000,0.000000000000000,SUE-QDA-BAT-LA07-962,QDA-BAT-LA07,SUE-QDA-BAT-LA07-962 100.000%,QDA-BAT-LA07_SUE-QDA-BAT-LA07-962_011,489096.861878999974579,9534068.312189999967813
7.979832514010000,3.920211839840000,0.200000000000000,SUE-EA2237-825,EA2237,SUE-EA2237-825 100.000%,EA2237_SUE-EA2237-825_014,488571.941417000023648,9533094.622719999402761
8.103073147350001,3.939915503120000,0.200000000000000,SUE-EA2114P-691,EA2114P,SUE-EA2114P-691 100.000%,EA2114P_SUE-EA2114P-691_012,488849.172135000000708,9533378.659469999372959
8.761865394180001,3.471070157320000,0.100000000000000,SUE-EA7082-054,EA7082,SUE-EA7082-054 100.000%,EA7082_SUE-EA7082-054_014,489090.709188000007998,9534749.313030000776052
7.416981864880000,3.345601291380000,0.150000000000000,SUE-EA2276-877,EA2276,SUE-EA2276-877 100.000%,EA2276_SUE-EA2276-877_017,488156.032773000013549,9533002.943940000608563
8.944271905350000,4.999999994800000,0.100000000000000,SUE-EA2114P-657,EA2114P,SUE-EA2114P-657 100.000%,EA2114P_SUE-EA2114P-657_006,489029.296203000005335,9533347.768869999796152
7.073332349780000,3.062477622260000,0.200000000000000,SUE-EA2114P-666,EA2114P,SUE-EA2114P-666 100.000%,EA2114P_SUE-EA2114P-666_012,488906.050713000004180,9533376.218989999964833
8.944271907210000,4.999999996880000,0.200000000000000,SUE-EA2169-1043,EA2169,"SUE-EA2169-1043 98.542%, SUE-EA2169-1043 1.458%",EA2169_SUE-EA2169-1043_023,489457.424335999996401,9534501.109479999169707
8.793865165390001,4.962865884960000,0.250000000000000,SUE-BAT-LA07-440,BAT-LA07,SUE-BAT-LA07-440 100.000%,BAT-LA07_SUE-BAT-LA07-440_017,488962.293912999972235,9533902.720419999212027
8.944271903490000,4.999999992720000,0.000000000000000,SUE-QDA-BAT-LA07-998,QDA-BAT-LA07,SUE-QDA-BAT-LA07-998 100.000%,QDA-BAT-LA07_SUE-QDA-BAT-LA07-998_068,489122.014139999984764,9534096.381179999560118
8.944271909070000,4.999999998960000,0.300000000000000,SUE-EA2123-725,EA2123,"SUE-EA2123-725 46.844%, SUE-EA2123-725 53.156%",EA2123_SUE-EA2123-725_008,489681.031133999989834,9534109.797590000554919
8.687357785540000,4.030731655430000,0.400000000000000,SUE-EA2294-916,EA2294,SUE-EA2294-916 100.000%,EA2294_SUE-EA2294-916_097,487845.941181999980472,9532718.863590000197291
8.944271905350000,4.999999994800000,0.300000000000000,SUE-EA2064-1026,EA2064,"SUE-EA2064-1026 93.961%, SUE-EA2064-1026 6.039%",EA2064_SUE-EA2064-1026_005,489922.526475000020582,9534467.568460000678897
8.348641915070001,2.528624667970000,0.100000000000000,SUE-EA1715-1062,EA1715,"SUE-EA1715-1062 0.060%, SUE-EA1715-1062 99.940%",EA1715_SUE-EA1715-1062_005,490161.785748999973293,9534805.214730000123382
8.884826636110001,4.990574260330000,0.000000000000000,SUE-EA2241-123,EA2241,SUE-EA2241-123 100.000%,EA2241_SUE-EA2241-123_008,488824.775009999983013,9534571.233939999714494
6.681780021970000,2.388669953440000,0.400000000000000,SUE-EA10427-153,EA10427,SUE-EA10427-153 100.000%,EA10427_SUE-EA10427-153_019,487941.268142000015359,9533486.776639999821782
9.046529878810000,4.842770579990000,0.300000000000000,SUE-BAT-LA07-926,BAT-LA07,SUE-BAT-LA07-926 100.000%,BAT-LA07_SUE-BAT-LA07-926_005,489034.804285000020172,9533503.836230000481009
6.628558300620000,2.082688037640000,0.000000000000000,SUE-EA2114P-694,EA2114P,SUE-EA2114P-694 100.000%,EA2114P_SUE-EA2114P-694_006,488904.762869999976829,9533432.679069999605417
8.540035509759999,4.545903213770000,0.400000000000000,SUE-EA2243-148,EA2243,SUE-EA2243-148 100.000%,EA2243_SUE-EA2243-148_015,488867.102390000014566,9535218.887299999594688
8.938889191690000,4.999956237600000,0.000000000000000,SUE-QDA-BAT-LA07-979,QDA-BAT-LA07,"SUE-QDA-BAT-LA07-979 6.445%, SUE-QDA-BAT-LA07-979 93.555%",QDA-BAT-LA07_SUE-QDA-BAT-LA07-979_070,489146.610886999987997,9534161.227150000631809
8.944271905350000,4.999999994800000,0.100000000000000,SUE-EA2123-718,EA2123,SUE-EA2123-718 100.000%,EA2123_SUE-EA2123-718_009,489674.292661999992561,9534092.638989999890327
8.944271903490000,4.999999992720000,0.300000000000000,SUE-EA2516-263,EA2516,"SUE-EA2516-263 95.811%, SUE-EA2516-263 4.189%",EA2516_SUE-EA2516-263_019,490291.477691999985836,9532526.661459999158978
8.883587970190000,4.994501942090000,0.250000000000000,SUE-EA2169-1055,EA2169,"SUE-EA2169-1055 1.665%, SUE-EA2169-1055 98.335%",EA2169_SUE-EA2169-1055_010,489461.896471999993082,9534507.817689999938011
8.944271907210000,4.999999996880000,0.200000000000000,SUE-EA2169-1042,EA2169,"SUE-EA2169-1042 70.369%, SUE-EA2169-1042 12.507%, SUE-EA2169-1042 0.226%, SUE-EA2169-1042 16.899%",EA2169_SUE-EA2169-1042_007,489473.316631000023335,9534494.850880000740290
6.615632002150000,2.223280880060000,0.100000000000000,SUE-EA2123-741,EA2123,SUE-EA2123-741 100.000%,EA2123_SUE-EA2123-741_010,489832.863238000019919,9534040.344440000131726
8.926396011970001,4.996762306830000,0.400000000000000,SUE-EA7091-063,EA7091,SUE-EA7091-063 100.000%,EA7091_SUE-EA7091-063_015,487711.055246000003535,9533087.914519999176264
8.944271903490000,4.999999992720000,0.200000000000000,SUE-EA2187-772,EA2187,SUE-EA2187-772 100.000%,EA2187_SUE-EA2187-772_022,489251.706081999989692,9533810.164480000734329
8.944271903490000,4.999999992720000,0.000000000000000,SUE-QDA-BAT-LA07-942,QDA-BAT-LA07,SUE-QDA-BAT-LA07-942 100.000%,QDA-BAT-LA07_SUE-QDA-BAT-LA07-942_007,488967.725449000019580,9534051.055420000106096
