LOCACION;COD_CELDA;COD_PLANO_CELDA;COD_GRILLA;PUNTO;ESTE;NORTE;ALTITUD;PROF;TIPO_COMP;NUM_EVAL;T_SUPERB;AREA;N_SUPERVIS;TPH;PORC_EXCESO;CA;prof
EA1293;AREA-EA1293-6;D1;AREA-EA1293-6-2;L-X,6,PZEA1293-3;482211.956;9527116.685;289;0.25;Area remediada; ;2025;10.92612951;3;24;;0007-4-2025-195;0.25
EA1293;AREA-EA1293-5;B5;AREA-EA1293-5-5;L-X,6,PZEA1293-4;482231.132;9527120.275;289;0.1;Area remediada; ;2025;34.83384787;3;133;;0007-4-2025-198;0.1
EA1293;AREA-EA1293-5;B5;AREA-EA1293-5-1;L-X,6,PZEA1293-5;482232.842;9527118.562;289;0.1;Area remediada; ;2025;34.83384787;3;1395;;0007-4-2025-201;0.1
EA1293;AREA-EA1293-3;B3;AREA-EA1293-3-3;L-X,6,PZEA1293-6;482231.136;9527116.821;289;0.1;Area remediada; ;2025;18.71595166;3;0;;0007-4-2025-204;0.1
EA1293;AREA-EA1293-5;B5;AREA-EA1293-5-3;L-X,6,PZEA1293-7;482232.874;9527121.998;289;0.1;Area remediada; ;2025;34.83384787;3;0;;0007-4-2025-207;0.1
EA1293;AREA-EA1293-5;B5;AREA-EA1293-5-2;L-X,6,PZEA1293-8;482234.426;9527122.051;289;0.1;Area remediada; ;2025;34.83384787;3;50;;0007-4-2025-210;0.1
EA1293;AREA-EA1293-5;B5;AREA-EA1293-5-7;L-X,6,PZEA1293-9;482234.434;9527123.727;289;0.1;Area remediada; ;2025;34.83384787;3;38;;0007-4-2025-213;0.1
EA9066;AREA-EA9066-5;B32;AREA-EA9066-5-32;L-X,6,PZEA9066-1;482464.959;9527281.356;309;0.2;Area remediada; ;2025;343.4673293;3;72;;0007-4-2025-216;0.2
EA9066;AREA-EA9066-19;B3;AREA-EA9066-19-1;L-X,6,PZEA9066-2;482465.071;9527279.736;309;0.2;Area remediada; ;2025;9.32261401;3;803;;0007-4-2025-219;0.2
EA9066;AREA-EA9066-1;K1;AREA-EA9066-1-4;L-X,6,PZEA9066-3;482473.619;9527262.303;309;0.35;Area remediada; ;2025;9.808158624;3;554;;0007-4-2025-222;0.35
EA9066;AREA-EA9066-2;L6;AREA-EA9066-2-1;L-X,6,PZEA9066-4;482475.234;9527262.135;309;0.35;Area remediada; ;2025;55.58936762;3;1658;;0007-4-2025-225;0.35
EA9066;AREA-EA9066-2;L6;AREA-EA9066-2-7;L-X,6,PZEA9066-5;482477.083;9527260.571;309;0.35;Area remediada; ;2025;55.58936762;3;2718;;0007-4-2025-228;0.35
EA9066;AREA-EA9066-3;L1;AREA-EA9066-3-2;L-X,6,PZEA9066-6;482475.443;9527258.957;309;0.35;Area remediada; ;2025;17.48066481;3;4781;;0007-4-2025-231;0.35
EA9066;AREA-EA9066-17;B7;AREA-EA9066-17-1;L-X,6,PZEA9066-7;482478.815;9527286.552;309;0.25;Area remediada; ;2025;27.21558168;3;186;;0007-4-2025-234;0.25
EA9066;AREA-EA9066-18;B8;AREA-EA9066-18-1;L-X,6,PZEA9066-8;482480.475;9527286.615;309;0.25;Area remediada; ;2025;21.69115897;3;22;;0007-4-2025-237;0.25
EA9066;AREA-EA9066-7;B9;AREA-EA9066-7-2;L-X,6,PZEA9066-9;482482.067;9527288.439;309;0.25;Area remediada; ;2025;15.81652801;3;605;;0007-4-2025-240;0.25
EA1040;AREA-EA1040-1;B6;AREA-EA1040-1-1;L-X,6,PZEA1040-1;481803.316;9527482.274;288;0.1;Area remediada; ;2025;16.53112824;3;196;;0007-4-2025-243;0.1
EA1040;AREA-EA1040-1;B6;AREA-EA1040-1-2;L-X,6,PZEA1040-2;481803.316;9527484.006;288;0.1;Area remediada; ;2025;16.53112824;3;38;;0007-4-2025-246;0.1
EA1040;AREA-EA1040-1;B6;AREA-EA1040-1-3;L-X,6,PZEA1040-3;481803.316;9527485.738;288;0.1;Area remediada; ;2025;16.53112824;3;0;;0007-4-2025-249;0.1
EA1040;AREA-EA1040-1;B6;AREA-EA1040-1-5;L-X,6,PZEA1040-4;481803.446;9527487.333;288;0.1;Area remediada; ;2025;16.53112824;3;0;;0007-4-2025-252;0.1
EA1040;AREA-EA1040-4;B2;AREA-EA1040-4-3;L-X,6,PZEA1040-5;481808.512;9527475.346;288;0.3;Area remediada; ;2025;16.91344724;3;694;;0007-4-2025-255;0.3
EA1040;AREA-EA1040-4;B2;AREA-EA1040-4-4;L-X,6,PZEA1040-6;481808.521;9527473.673;288;0.3;Area remediada; ;2025;16.91344724;3;319;;0007-4-2025-258;0.3
EA1040;AREA-EA1040-4;B2;AREA-EA1040-4-6;L-X,6,PZEA1040-7;481810.244;9527475.346;288;0.3;Area remediada; ;2025;16.91344724;3;1141;;0007-4-2025-261;0.3
EA1040;AREA-EA1040-4;B2;AREA-EA1040-4-2;L-X,6,PZEA1040-8;481811.871;9527473.515;288;0.3;Area remediada; ;2025;16.91344724;3;52;;0007-4-2025-264;0.3
EA1040;AREA-EA1040-9;K4;AREA-EA1040-9-5;L-X,6,PZEA1040-9;481860.306;9527497.742;278;0.1;Area remediada; ;2025;26.00348768;3;0;;0007-4-2025-267;0.1
EA1040;AREA-EA1040-9;K4;AREA-EA1040-9-6;L-X,6,PZEA1040-12R;481862.308;9527491.012;278;0.1;Area remediada; ;2025;26.00348768;3;28;;0007-4-2025-270;0.1
EA1040;AREA-EA1040-9;K4;AREA-EA1040-9-8;L-X,6,PZEA1040-13;481863.938;9527489.203;278;0.1;Area remediada; ;2025;26.00348768;3;20;;0007-4-2025-273;0.1
